Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,35.305000,35.730000,35.290001,35.610001,33.713509,93278400
2017-04-21,35.610001,35.669998,35.462502,35.567501,33.673267,69283600
2017-04-24,35.875000,35.987499,35.794998,35.910000,33.997524,68537200
2017-04-25,35.977501,36.224998,35.967499,36.132500,34.208172,75486000
2017-04-26,36.117500,36.150002,35.845001,35.919998,34.006992,80164800
2017-04-27,35.980000,36.040001,35.827499,35.947498,34.033028,56985200
2017-04-28,36.022499,36.075001,35.817501,35.912498,33.999893,83441600
2017-05-01,36.275002,36.799999,36.240002,36.645000,34.693375,134411600
2017-05-02,36.884998,37.022499,36.709999,36.877499,34.913502,181408800
2017-05-03,36.397499,36.872501,36.067501,36.764999,34.806988,182788000
2017-05-04,36.630001,36.785000,36.452499,36.632500,34.681553,93487600
2017-05-05,36.689999,37.244999,36.689999,37.240002,35.256695,109310800
2017-05-08,37.257500,38.424999,37.257500,38.252499,36.215267,195009600
2017-05-09,38.467499,38.720001,38.362499,38.497501,36.447224,156521600
2017-05-10,38.407501,38.485001,38.027500,38.314999,36.274441,103222800
2017-05-11,38.112499,38.517502,38.077499,38.487499,36.588150,109020400
2017-05-12,38.674999,39.105000,38.667500,39.025002,37.099133,130108000
2017-05-15,39.002499,39.162498,38.762501,38.924999,37.004063,104038800
2017-05-16,38.985001,39.014999,38.680000,38.867500,36.949406,80194000
2017-05-17,38.400002,38.642502,37.427502,37.562500,35.708797,203070800
2017-05-18,37.817501,38.334999,37.782501,38.134998,36.253052,134272800
2017-05-19,38.345001,38.494999,38.157501,38.264999,36.376644,107843200
2017-05-22,38.500000,38.645000,38.227501,38.497501,36.597660,91865600
2017-05-23,38.724998,38.724998,38.327499,38.450001,36.552502,79675600
2017-05-24,38.459999,38.542500,38.167500,38.334999,36.443180,76712000
2017-05-25,38.432499,38.587502,38.257500,38.467499,36.569141,76942400
2017-05-26,38.500000,38.560001,38.327499,38.402500,36.507347,87710400
2017-05-30,38.355000,38.607498,38.332500,38.417500,36.521606,80507600
2017-05-31,38.492500,38.542500,38.095001,38.189999,36.305340,97804800
2017-06-01,38.292500,38.332500,38.055000,38.294998,36.405144,65616400
2017-06-02,38.395000,38.862499,38.222500,38.862499,36.944649,111082800
2017-06-05,38.584999,38.612499,38.365002,38.482498,36.583393,101326800
2017-06-06,38.474998,38.952499,38.445000,38.612499,36.706985,106499600
2017-06-07,38.755001,38.994999,38.619999,38.842499,36.925629,84278400
2017-06-08,38.812500,38.884998,38.599998,38.747501,36.835316,85003200
2017-06-09,38.797501,38.797501,36.505001,37.244999,35.406975,259530800
2017-06-12,36.435001,36.522499,35.627499,36.355000,34.560890,289229200
2017-06-13,36.790001,36.862499,36.287498,36.647499,34.838955,136661600
2017-06-14,36.875000,36.875000,35.959999,36.290001,34.499104,126124800
2017-06-15,35.830002,36.119999,35.552502,36.072498,34.292339,128661600
2017-06-16,35.945000,36.125000,35.549999,35.567501,33.812252,201444400
2017-06-19,35.915001,36.685001,35.915001,36.584999,34.779533,130165600
2017-06-20,36.717499,36.717499,36.235001,36.252499,34.463448,99600400
2017-06-21,36.380001,36.517502,36.152500,36.467499,34.667839,85063200
2017-06-22,36.442501,36.674999,36.279999,36.407501,34.610806,76425200
2017-06-23,36.282501,36.790001,36.277500,36.570000,34.765278,141757600
2017-06-26,36.792500,37.070000,36.345001,36.455002,34.655952,102769600
2017-06-27,36.252499,36.540001,35.904999,35.932499,34.159245,99047600
2017-06-28,36.122501,36.527500,35.790001,36.457500,34.658333,88329600
2017-06-29,36.177502,36.282501,35.570000,35.919998,34.147354,125997600
2017-06-30,36.112499,36.240002,35.945000,36.005001,34.228161,92096400
2017-07-03,36.220001,36.325001,35.775002,35.875000,34.104584,57111200
2017-07-05,35.922501,36.197498,35.680000,36.022499,34.244797,86278400
2017-07-06,35.755001,35.875000,35.602501,35.682499,33.921585,96515200
